Date,Price,Open,High,Low,Vol.,Change %
8/17/2017,"26,287","26,371","26,371","26,244",4.60M,-0.32%
8/18/2017,"26,329","26,287","26,329","26,202",4.34M,0.16%
8/21/2017,"25,989","26,329","26,329","25,947",4.17M,-1.29%
8/22/2017,"25,989","25,989","26,074","25,862",3.61M,0.00%
8/23/2017,"26,669","26,032","26,669","25,989",4.26M,2.62%
8/24/2017,"26,584","26,669","26,839","26,499",4.13M,-0.32%
8/25/2017,"26,287","26,584","26,584","25,947",4.43M,-1.12%
8/28/2017,"25,947","26,287","26,287","25,777",4.56M,-1.29%
8/29/2017,"25,522","25,947","25,947","25,267",4.15M,-1.64%
8/30/2017,"25,522","25,522","25,522","25,013",4.24M,0.00%
8/31/2017,"25,565","25,522","25,650","24,970",4.72M,0.17%
9/1/2017,"25,607","25,565","25,607","25,310",4.62M,0.16%
9/5/2017,"25,565","25,607","25,607","24,800",5.31M,-0.16%
9/6/2017,"25,565","25,522","25,565","24,928",5.17M,0.00%
9/7/2017,"25,480","25,565","25,565","25,055",4.82M,-0.33%
9/8/2017,"25,480","25,437","25,480","25,055",4.15M,0.00%
9/11/2017,"25,480","25,395","25,480","25,140",3.93M,0.00%
9/12/2017,"25,819","25,437","26,244","25,267",4.73M,1.33%
9/13/2017,"25,480","25,819","25,819","25,352",4.85M,-1.31%
9/14/2017,"25,607","25,480","25,607","25,225",4.37M,0.50%
9/15/2017,"27,136","25,607","27,136","25,437",6.18M,5.97%
9/18/2017,"26,371","26,966","26,966","26,244",4.52M,-2.82%
9/19/2017,"26,287","26,329","26,456","26,287",4.56M,-0.32%
9/20/2017,"26,244","26,287","26,371","26,032",4.53M,-0.16%
9/21/2017,"26,202","26,244","26,329","26,074",4.63M,-0.16%
9/22/2017,"26,159","26,202","26,244","25,989",4.41M,-0.16%
9/25/2017,"26,117","26,159","26,159","25,947",4.51M,-0.16%
9/26/2017,"26,074","26,117","26,287","25,947",4.87M,-0.16%
9/27/2017,"26,074","26,074","26,202","25,947",4.49M,0.00%
9/28/2017,"26,074","26,074","26,244","26,032",4.63M,0.00%
9/29/2017,"26,117","26,074","26,541","26,074",4.42M,0.16%
10/2/2017,"26,117","26,117","26,371","26,117",3.78M,0.00%
10/3/2017,"26,074","26,117","26,202","25,989",4.50M,-0.16%
10/4/2017,"26,074","26,074","26,159","25,989",3.80M,0.00%
10/5/2017,"26,074","26,074","26,159","25,989",3.56M,0.00%
10/6/2017,"26,074","26,074","26,159","25,989",3.77M,0.00%
10/9/2017,"26,074","26,074","26,159","26,032",3.63M,0.00%
10/10/2017,"26,074","26,074","26,117","25,989",4.00M,0.00%
10/11/2017,"26,117","26,074","26,159","26,032",3.96M,0.16%
10/12/2017,"26,159","26,117","26,244","26,032",3.63M,0.16%
10/13/2017,"26,202","26,159","26,202","26,074",3.62M,0.16%
10/16/2017,"26,669","26,202","26,966","26,202",3.63M,1.78%
