Date,Price,Open,High,Low,Vol.,Change %
3/2/2017,"8,413.30","8,338.40","8,563.10","8,263.50",5.82M,2.12%
3/3/2017,"8,637.90","8,438.20","8,812.70","8,388.30",6.17M,2.67%
3/6/2017,"9,187.20","8,887.60","9,237.10","8,787.70",13.62M,6.36%
3/7/2017,"8,987.50","9,187.20","9,411.90","8,987.50",6.44M,-2.17%
3/8/2017,"9,187.20","8,987.50","9,337.00","8,887.60",6.62M,2.22%
3/9/2017,"9,187.20","9,237.10","9,287.00","9,087.30",6.74M,0.00%
3/10/2017,"9,287.00","9,237.10","9,411.90","9,237.10",10.30M,1.09%
3/13/2017,"9,162.20","9,287.00","9,287.00","9,062.40",5.77M,-1.34%
3/14/2017,"9,162.20","9,162.20","9,212.10","8,987.50",6.93M,0.00%
3/15/2017,"9,536.70","9,212.10","9,536.70","9,212.10",7.41M,4.09%
3/16/2017,"9,786.30","9,611.60","9,861.20","9,536.70",7.76M,2.62%
3/17/2017,"9,386.90","9,786.30","9,861.20","9,287.00",10.10M,-4.08%
3/20/2017,"9,586.60","9,436.80","9,736.40","9,237.10",7.89M,2.13%
3/21/2017,"9,536.70","9,586.60","9,686.50","9,386.90",4.17M,-0.52%
3/22/2017,"9,087.30","9,536.70","9,536.70","8,987.50",6.93M,-4.71%
3/23/2017,"9,237.10","9,037.40","9,287.00","8,862.60",9.53M,1.65%
3/24/2017,"9,087.30","9,287.00","9,436.80","9,037.40",7.68M,-1.62%
3/27/2017,"9,511.70","9,212.10","9,711.40","9,187.20",8.40M,4.67%
3/28/2017,"9,511.70","9,586.60","9,711.40","9,486.80",9.45M,0.00%
3/29/2017,"9,986.10","9,511.70","9,986.10","9,511.70",8.55M,4.99%
3/30/2017,"10,310.60","10,085.90","10,435.40","10,085.90",8.58M,3.25%
3/31/2017,"10,285.60","10,385.50","10,560.30","10,210.80",9.53M,-0.24%
4/3/2017,"10,834.90","10,285.60","10,859.80","10,285.60",11.83M,5.34%
4/4/2017,"10,834.90","10,934.70","11,034.60","10,735.00",7.71M,0.00%
4/5/2017,"10,735.00","10,834.90","10,934.70","10,585.20",9.17M,-0.92%
4/7/2017,"11,234.30","10,685.10","11,234.30","10,410.50",10.27M,4.65%
4/10/2017,"11,484.00","11,334.20","11,583.80","11,334.20",6.91M,2.22%
4/11/2017,"11,284.30","11,484.00","11,583.80","10,984.70",7.89M,-1.74%
4/12/2017,"11,484.00","11,234.30","11,683.70","10,984.70",7.93M,1.77%
4/13/2017,"11,309.20","11,533.90","11,658.70","11,284.30",4.36M,-1.52%
4/14/2017,"10,984.70","11,184.40","11,259.30","10,884.80",11.47M,-2.87%
4/17/2017,"10,235.70","11,034.60","11,059.60","10,235.70",10.38M,-6.82%
4/18/2017,"10,110.90","10,135.90","10,385.50","9,686.50",8.24M,-1.22%
4/19/2017,"10,809.90","10,360.50","10,809.90","10,335.60",8.38M,6.91%
