Date,Price,Open,High,Low,Vol.,Change %
3/13/2017,"10,650.80","10,743.00","10,789.10","10,558.60",564.39K,-0.86%
3/14/2017,"10,650.80","10,650.80","10,673.90","10,604.70",439.45K,0.00%
3/15/2017,"10,743.00","10,650.80","10,789.10","10,650.80",448.95K,0.87%
3/16/2017,"11,158.00","10,696.90","11,158.00","10,650.80",551.31K,3.86%
3/17/2017,"11,204.10","11,158.00","11,619.10","11,158.00",337.76K,0.41%
3/20/2017,"11,273.30","11,204.10","11,572.90","11,204.10",196.54K,0.62%
3/21/2017,"11,158.00","11,273.30","11,273.30","11,065.80",227.65K,-1.02%
3/22/2017,"11,158.00","11,065.80","11,250.20","11,065.80",277.25K,0.00%
3/23/2017,"11,158.00","11,204.10","11,204.10","11,065.80",193.16K,0.00%
3/24/2017,"11,158.00","11,065.80","11,204.10","11,065.80",84.87K,0.00%
3/27/2017,"11,158.00","11,065.80","11,250.20","11,065.80",238.95K,0.00%
3/28/2017,"11,918.80","11,204.10","11,918.80","11,204.10",451.53K,6.82%
3/29/2017,"11,711.30","11,918.80","11,918.80","11,596.00",81.87K,-1.74%
3/30/2017,"11,711.30","11,619.10","11,803.50","11,619.10",116.74K,0.00%
3/31/2017,"11,688.20","11,665.20","11,757.40","11,642.10",93.44K,-0.20%
4/3/2017,"11,803.50","11,665.20","11,849.60","11,665.20",128.18K,0.99%
4/4/2017,"11,665.20","11,849.60","11,895.70","11,665.20",199.47K,-1.17%
4/5/2017,"11,526.80","11,619.10","11,665.20","11,526.80",262.72K,-1.19%
4/7/2017,"11,388.50","11,526.80","11,526.80","11,388.50",225.25K,-1.20%
4/10/2017,"11,411.60","11,388.50","11,434.60","11,342.40",155.08K,0.20%
4/11/2017,"11,480.70","11,434.60","11,895.70","11,411.60",511.31K,0.61%
4/12/2017,"11,526.80","11,526.80","11,619.10","11,480.70",257.09K,0.40%
4/13/2017,"11,526.80","11,526.80","11,572.90","11,388.50",308.17K,0.00%
4/14/2017,"11,434.60","11,480.70","11,526.80","11,342.40",182.82K,-0.80%
4/17/2017,"11,526.80","11,480.70","11,619.10","11,434.60",291.09K,0.81%
4/18/2017,"11,572.90","11,526.80","11,572.90","11,480.70",229.23K,0.40%
4/19/2017,"11,803.50","11,572.90","11,849.60","11,549.90",340.80K,1.99%
4/20/2017,"11,711.30","11,803.50","11,849.60","11,596.00",295.65K,-0.78%
4/21/2017,"11,665.20","11,619.10","11,711.30","11,619.10",153.50K,-0.39%
4/24/2017,"11,619.10","11,665.20","11,665.20","11,572.90",297.12K,-0.40%
4/25/2017,"11,480.70","11,619.10","11,619.10","11,388.50",338.40K,-1.19%
